1,Jashvant,DIVINE WORLDWIDE GENERAL TRADING LLC,Real Choice Commercial Broker,No Second Sponsor,,sp,,,,,,,,Not Discountable,523532,2001-01-13,2017-01-12,76631,2019-02-24,362498,August-2012,12000,No,,,,,1,,
2,Komal,SONA BAZAR  LLC,Hamadan Saeed Khalifa,No Second Sponsor,,sp,,,,,,,,Not Discountable,590951,2007-02-01,2017-01-31,133474,2019-02-07,607599,Jan-2009,15000,No,,,,,1,,
3,saeed,GATEWAY TRADING CO LLC,Saeed Khalifa,No Second Sponsor,,no,,,,,,,,Not Discountable,541408,2003-01-21,2017-01-20,90668,2018-01-20,483348,Jan-2009,15000,No,,,,,1,,
4,saeed,ISLAND VALLEY TAILORING & EMBRODERY,Nahad Mohd,No Second Sponsor,,sp,,,,,,,,Not Discountable,541356,2003-01-20,2017-01-19,2/1/90653,2018-04-12,483352,Jan-2009,8000,No,,,"Ladies Tailoring, 
Ladies Wears Tailoring &
Embroidery Workshop",,1,,
5,Jashvant,EXIT ZONE TRADING LLC,Shuraa Management And Consultancy Llc,No Second Sponsor,,no,,,,,,,,None,576774,2006-01-14,2008-01-13,,1900-01-01,595300,Jan-2009,15000,No,,,,,1,,
6,saeed,RIVER AUTO SPARE PARTS TRADING. LLC.,Hamadan Saeed Khalifa,No Second Sponsor,,sp,,,,Saeed bin thani,,Deira,Al Nakheel Rd - naif,Not Discountable,577284,2006-01-29,2008-01-28,120553,2009-01-30,561824,Jan-2009,15000,Yes,,,,,0,,0506258522
7,saeed,BENAIR AIRCONDITIONING LLC (SHARJAH BR),Saeed Khalifa,No Second Sponsor,,no,,,,,,,,None,538889,2006-01-27,2017-01-28,2/1/69227,2018-01-02,565243,Jan-2009,12000,No,,,,,1,,
8,Komal,KALRAV TRADING LLC,Double Deal Services,No Second Sponsor,,of,,,,Saddiq Abdul Hadi Al Ajmani,,Bur Dubai,Khalid bin waleed road.,Not Discountable,590028,2007-01-09,2008-01-08,132670,2010-01-09,NIL,Jan-2009,17000,No,,,,,0,,
9,Rajesh,LIFE DROP LLC,Double Deal Services,No Second Sponsor,,of,,,,Abdullah Ahmed bilquazi,,Deira,Frij Murar,Not Discountable,590155,2007-01-11,2008-01-10,132869,2010-01-16,NIL,Jan-2009,30000,No,,,,,0,,
10,Jashvant,IQRAR ELECTROMECHANICAL WORKS LLC,Shuraa Management And Consultancy Llc,No Second Sponsor,,sp,,,,,,,,Not Discountable,590154,2007-01-11,2012-01-10,132934,2010-01-21,589861,Jan-2009,15000,No,,,,,0,,
11,Jashvant,RAZOUK CHHABI COMMERCIAL BROKERS LLC,Double Deal Services,No Second Sponsor,,of,,,,Ahmad Abdul rahim Alattar,,Bur Dubai,karama,Not Discountable,590157,2007-01-11,2008-01-10,132791,2010-01-14,594637,Jan-2009,15000,No,,,,,0,,
12,Jashvant,DANGRA GENERAL TRADING LLC,Double Deal Services,No Second Sponsor,,of,,,,Mohammed Ahmad Abdul Rahman,,Deira,Frij Murar,Not Discountable,590830,2007-01-31,2008-01-30,133396,2010-02-05,595289,Jan-2009,20000,No,,,,,0,,
